,uid,name,value
116,3d0a2832-7599-423d-82cd-77c266524ac4,"Elastic Modulus, GPa",
117,3d0a2832-7599-423d-82cd-77c266524ac4,"Yield Strength, MPa",
118,3d0a2832-7599-423d-82cd-77c266524ac4,"UTS, MPa",
119,3d0a2832-7599-423d-82cd-77c266524ac4,"Elongation, %",
120,3d0a2832-7599-423d-82cd-77c266524ac4,"Strain Hardening, MPa",
121,3d0a2832-7599-423d-82cd-77c266524ac4,dUTS_dY,
122,3d20774b-3f90-4b33-a58d-5624408c7561,Weighed Mass,
123,3d20774b-3f90-4b33-a58d-5624408c7561,Mass Loss,
124,409f811e-6925-4698-a3d5-b054bc13aa9f,Weighed Mass,
125,409f811e-6925-4698-a3d5-b054bc13aa9f,Mass Loss,
126,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Elastic Modulus, GPa",
127,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Yield Strength, MPa",
128,45212daf-f363-44be-bc16-86eeb1a4d5fd,"UTS, MPa",
129,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Elongation, %",
130,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Strain Hardening, MPa",
131,45212daf-f363-44be-bc16-86eeb1a4d5fd,dUTS_dY,
132,474cb3db-c4bc-449a-961e-cf837f1ea136,Weighed Mass,
133,474cb3db-c4bc-449a-961e-cf837f1ea136,Mass Loss,
134,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Weighed Mass,
135,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Mass Loss,
136,4fb55efb-770c-4ae5-8bbe-1230a1094091,Weighed Mass,
137,4fb55efb-770c-4ae5-8bbe-1230a1094091,Mass Loss,
138,53058723-c70f-4669-8b11-b0e64aab1a27,"Elastic Modulus, GPa",
139,53058723-c70f-4669-8b11-b0e64aab1a27,"Yield Strength, MPa",
140,53058723-c70f-4669-8b11-b0e64aab1a27,"UTS, MPa",
141,53058723-c70f-4669-8b11-b0e64aab1a27,"Elongation, %",
142,53058723-c70f-4669-8b11-b0e64aab1a27,"Strain Hardening, MPa",
143,53058723-c70f-4669-8b11-b0e64aab1a27,dUTS_dY,
144,548a52db-ed9b-448a-b667-db5c6e0c7465,"Elastic Modulus, GPa",
145,548a52db-ed9b-448a-b667-db5c6e0c7465,"Yield Strength, MPa",
146,548a52db-ed9b-448a-b667-db5c6e0c7465,"UTS, MPa",
147,548a52db-ed9b-448a-b667-db5c6e0c7465,"Elongation, %",
148,548a52db-ed9b-448a-b667-db5c6e0c7465,"Strain Hardening, MPa",
149,548a52db-ed9b-448a-b667-db5c6e0c7465,dUTS_dY,
150,563b9444-5c75-4668-a6a5-094aacaf419f,Weighed Mass,
