,uid,name
192,0b39e64e-7735-4680-9f30-7e4520c3589f,"Hardness, HV"
193,0b39e64e-7735-4680-9f30-7e4520c3589f,"SD, HV"
194,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Elastic Modulus, GPa"
195,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Yield Strength, MPa"
196,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"UTS, MPa"
197,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Elongation, %"
198,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Strain Hardening, MPa"
199,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,dUTS_dY
200,794923b3-148c-4eae-bbd9-7da4b5a939ae,Weighed Mass
201,794923b3-148c-4eae-bbd9-7da4b5a939ae,Mass Loss
202,141d2cca-f7ae-451c-aded-fdabec78613a,Weighed Mass
203,141d2cca-f7ae-451c-aded-fdabec78613a,Mass Loss
204,191694cc-e1a5-4e17-9638-73dd13008f5b,Weighed Mass
205,191694cc-e1a5-4e17-9638-73dd13008f5b,Mass Loss
206,958bed36-d4af-4f6d-819d-e81e8b132f8b,Weighed Mass
207,958bed36-d4af-4f6d-819d-e81e8b132f8b,Mass Loss
208,ef888c15-e205-46de-8c7e-6946e1f877ac,Phase
209,ef888c15-e205-46de-8c7e-6946e1f877ac,Lattice Parameter
210,ef888c15-e205-46de-8c7e-6946e1f877ac,"Hardness, HV"
211,ef888c15-e205-46de-8c7e-6946e1f877ac,"SD, HV"
212,0e240e33-3e67-4408-aa5d-b27d4dfb9894,Weighed Mass
213,0e240e33-3e67-4408-aa5d-b27d4dfb9894,Mass Loss
214,548a52db-ed9b-448a-b667-db5c6e0c7465,"Elastic Modulus, GPa"
215,548a52db-ed9b-448a-b667-db5c6e0c7465,"Yield Strength, MPa"
216,548a52db-ed9b-448a-b667-db5c6e0c7465,"UTS, MPa"
217,548a52db-ed9b-448a-b667-db5c6e0c7465,"Elongation, %"
218,548a52db-ed9b-448a-b667-db5c6e0c7465,"Strain Hardening, MPa"
219,548a52db-ed9b-448a-b667-db5c6e0c7465,dUTS_dY
220,af9b1d49-4aae-4231-a83c-80a8a782d35b,Weighed Mass
221,af9b1d49-4aae-4231-a83c-80a8a782d35b,Mass Loss
222,f7fe0e41-1641-4340-bcff-29f2b7665d22,Weighed Mass
223,f7fe0e41-1641-4340-bcff-29f2b7665d22,Mass Loss
224,238333c4-f2b1-4bbf-9f27-940712eb0ef5,Weighed Mass
225,238333c4-f2b1-4bbf-9f27-940712eb0ef5,Mass Loss
226,772cae9f-821a-48c8-92e5-c418163ea22a,"Elastic Modulus, GPa"
227,772cae9f-821a-48c8-92e5-c418163ea22a,"Yield Strength, MPa"
228,772cae9f-821a-48c8-92e5-c418163ea22a,"UTS, MPa"
229,772cae9f-821a-48c8-92e5-c418163ea22a,"Elongation, %"
230,772cae9f-821a-48c8-92e5-c418163ea22a,"Strain Hardening, MPa"
231,772cae9f-821a-48c8-92e5-c418163ea22a,dUTS_dY
232,98f66b85-e270-42ec-bece-9865783ce0e7,Weighed Mass
233,98f66b85-e270-42ec-bece-9865783ce0e7,Mass Loss
234,27f96c6f-3499-4c9b-ad90-c05762983e5f,Weighed Mass
235,27f96c6f-3499-4c9b-ad90-c05762983e5f,Mass Loss
236,387cc4b2-aea0-4773-8cf6-2c9ce1e89c24,Weighed Mass
237,387cc4b2-aea0-4773-8cf6-2c9ce1e89c24,Mass Loss
238,70ebc0bb-8db9-4e3a-a723-f78b193810eb,Weighed Mass
239,70ebc0bb-8db9-4e3a-a723-f78b193810eb,Mass Loss
240,a13dacf7-1392-4baa-b9c2-74e2e094d143,Weighed Mass
241,a13dacf7-1392-4baa-b9c2-74e2e094d143,Mass Loss
242,21abbfa7-152a-44e2-8610-22a77b454068,Phase
243,21abbfa7-152a-44e2-8610-22a77b454068,Lattice Parameter
244,21abbfa7-152a-44e2-8610-22a77b454068,"Hardness, HV"
245,21abbfa7-152a-44e2-8610-22a77b454068,"SD, HV"
246,853a8ddf-1d0f-416b-95f3-90c059b347b3,Weighed Mass
247,853a8ddf-1d0f-416b-95f3-90c059b347b3,Mass Loss
248,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Elastic Modulus, GPa"
249,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Yield Strength, MPa"
250,45212daf-f363-44be-bc16-86eeb1a4d5fd,"UTS, MPa"
251,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Elongation, %"
252,45212daf-f363-44be-bc16-86eeb1a4d5fd,"Strain Hardening, MPa"
253,45212daf-f363-44be-bc16-86eeb1a4d5fd,dUTS_dY
254,2cb2c691-5edf-4e59-b83f-3f3e003242b6,Weighed Mass
255,2cb2c691-5edf-4e59-b83f-3f3e003242b6,Mass Loss
256,bdccbc59-1153-4a60-8a5b-885e1a3b2f54,Weighed Mass
257,bdccbc59-1153-4a60-8a5b-885e1a3b2f54,Mass Loss
258,bc327b5a-35ce-4bf2-8af2-5545497f0491,Weighed Mass
259,bc327b5a-35ce-4bf2-8af2-5545497f0491,Mass Loss
260,c9bdc953-e954-4432-b726-ed995989acf0,Weighed Mass
261,c9bdc953-e954-4432-b726-ed995989acf0,Mass Loss
262,474cb3db-c4bc-449a-961e-cf837f1ea136,Weighed Mass
263,474cb3db-c4bc-449a-961e-cf837f1ea136,Mass Loss
264,eaabd5df-4599-4b87-bd8d-e54efabd8b97,Weighed Mass
265,eaabd5df-4599-4b87-bd8d-e54efabd8b97,Mass Loss
266,2fa8af00-58d7-4a16-8524-83dc36047e89,Weighed Mass
267,2fa8af00-58d7-4a16-8524-83dc36047e89,Mass Loss
268,563b9444-5c75-4668-a6a5-094aacaf419f,Weighed Mass
269,563b9444-5c75-4668-a6a5-094aacaf419f,Mass Loss
270,a57b8136-fd4b-4ae4-b45f-75e28a30fe9f,Weighed Mass
271,a57b8136-fd4b-4ae4-b45f-75e28a30fe9f,Mass Loss
272,c9d7fcc1-4f54-411e-863c-fbc46d277540,Weighed Mass
273,c9d7fcc1-4f54-411e-863c-fbc46d277540,Mass Loss
274,10df93f2-3785-49e6-a816-c8561ff6d636,Weighed Mass
275,10df93f2-3785-49e6-a816-c8561ff6d636,Mass Loss
276,39aadd9e-b5da-408d-8a17-f67e2983318a,Weighed Mass
277,39aadd9e-b5da-408d-8a17-f67e2983318a,Mass Loss
278,82b5b277-7f35-4e8f-913a-25d719ac54a5,Weighed Mass
279,82b5b277-7f35-4e8f-913a-25d719ac54a5,Mass Loss
280,e20a9e2a-bc3c-4684-93d2-1086047cfda1,Weighed Mass
281,e20a9e2a-bc3c-4684-93d2-1086047cfda1,Mass Loss
282,f0c7e6ef-f47f-4292-a820-f0bae2fd020b,Weighed Mass
283,f0c7e6ef-f47f-4292-a820-f0bae2fd020b,Mass Loss
284,fcf499f2-996d-4581-9338-d94b887add28,Weighed Mass
