,uid,name,type
113,27f96c6f-3499-4c9b-ad90-c05762983e5f,Mass Loss,nominal_real
114,b294a6e3-989f-45e0-a9ca-310a98dd4aa3,Weighed Mass,nominal_real
115,b294a6e3-989f-45e0-a9ca-310a98dd4aa3,Mass Loss,nominal_real
116,4fb55efb-770c-4ae5-8bbe-1230a1094091,Weighed Mass,nominal_real
117,4fb55efb-770c-4ae5-8bbe-1230a1094091,Mass Loss,nominal_real
118,a4d1d231-fa5b-4979-a141-94e243edba8d,Weighed Mass,nominal_real
119,a4d1d231-fa5b-4979-a141-94e243edba8d,Mass Loss,nominal_real
120,aca074ae-3bd9-480b-b264-512c6952c436,Weighed Mass,nominal_real
121,aca074ae-3bd9-480b-b264-512c6952c436,Mass Loss,nominal_real
122,eaed1955-65b2-4603-85ce-913ce57484fb,Phase,nominal_categorical
123,eaed1955-65b2-4603-85ce-913ce57484fb,Lattice Parameter,nominal_real
124,eaed1955-65b2-4603-85ce-913ce57484fb,"Hardness, HV",nominal_real
125,eaed1955-65b2-4603-85ce-913ce57484fb,"SD, HV",nominal_real
126,fd673d97-8bbc-4c12-95f4-5384ff33c312,Weighed Mass,nominal_real
127,fd673d97-8bbc-4c12-95f4-5384ff33c312,Mass Loss,nominal_real
128,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Elastic Modulus, GPa",nominal_real
129,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Yield Strength, MPa",nominal_real
130,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"UTS, MPa",nominal_real
131,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Elongation, %",nominal_real
132,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Strain Hardening, MPa",nominal_real
133,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,dUTS_dY,nominal_real
134,81133c17-15ef-4e05-acca-3b505fe46068,Weighed Mass,nominal_real
135,81133c17-15ef-4e05-acca-3b505fe46068,Mass Loss,nominal_real
136,af9b1d49-4aae-4231-a83c-80a8a782d35b,Weighed Mass,nominal_real
137,af9b1d49-4aae-4231-a83c-80a8a782d35b,Mass Loss,nominal_real
138,d95d6bfe-69e2-4bc7-9a1b-f03f514e05d0,Weighed Mass,nominal_real
139,d95d6bfe-69e2-4bc7-9a1b-f03f514e05d0,Mass Loss,nominal_real
140,56503a6b-2a4b-46f9-b62a-27090c83360e,Phase,nominal_categorical
141,56503a6b-2a4b-46f9-b62a-27090c83360e,Lattice Parameter,nominal_real
142,56503a6b-2a4b-46f9-b62a-27090c83360e,"Hardness, HV",nominal_real
143,56503a6b-2a4b-46f9-b62a-27090c83360e,"SD, HV",nominal_real
144,5e7cbef6-73a0-4286-adba-cba0e67b0f51,Phase,nominal_categorical
145,5e7cbef6-73a0-4286-adba-cba0e67b0f51,Lattice Parameter,nominal_real
146,5e7cbef6-73a0-4286-adba-cba0e67b0f51,"Hardness, HV",nominal_real
147,5e7cbef6-73a0-4286-adba-cba0e67b0f51,"SD, HV",nominal_real
148,bc2c2f2d-0e86-4aad-8053-fb3e6da3b191,Weighed Mass,nominal_real
149,bc2c2f2d-0e86-4aad-8053-fb3e6da3b191,Mass Loss,nominal_real
150,cc32b252-7f01-4eee-9bdb-a8bf04e67271,Phase,nominal_categorical
151,cc32b252-7f01-4eee-9bdb-a8bf04e67271,Lattice Parameter,nominal_real
152,cc32b252-7f01-4eee-9bdb-a8bf04e67271,"Hardness, HV",nominal_real
153,cc32b252-7f01-4eee-9bdb-a8bf04e67271,"SD, HV",nominal_real
154,563b9444-5c75-4668-a6a5-094aacaf419f,Weighed Mass,nominal_real
155,563b9444-5c75-4668-a6a5-094aacaf419f,Mass Loss,nominal_real
156,63ce0ec3-e40e-42c8-8042-a1c4380c8e7e,Weighed Mass,nominal_real
157,63ce0ec3-e40e-42c8-8042-a1c4380c8e7e,Mass Loss,nominal_real
158,6c5f64f3-8d8c-4e97-9c64-ff1586d0351c,Weighed Mass,nominal_real
159,6c5f64f3-8d8c-4e97-9c64-ff1586d0351c,Mass Loss,nominal_real
160,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Elastic Modulus, GPa",nominal_real
161,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Yield Strength, MPa",nominal_real
162,afc225e2-3382-4dd1-a097-7baefa6b6d09,"UTS, MPa",nominal_real
163,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Elongation, %",nominal_real
164,afc225e2-3382-4dd1-a097-7baefa6b6d09,"Strain Hardening, MPa",nominal_real
165,afc225e2-3382-4dd1-a097-7baefa6b6d09,dUTS_dY,nominal_real
166,d82c1de9-6447-4be2-8110-9948dd67ed3f,Phase,nominal_categorical
167,d82c1de9-6447-4be2-8110-9948dd67ed3f,Lattice Parameter,nominal_real
168,d82c1de9-6447-4be2-8110-9948dd67ed3f,"Hardness, HV",nominal_real
169,d82c1de9-6447-4be2-8110-9948dd67ed3f,"SD, HV",nominal_real
170,25b091aa-8fa3-437e-9521-980d2bf78c33,Weighed Mass,nominal_real
171,25b091aa-8fa3-437e-9521-980d2bf78c33,Mass Loss,nominal_real
172,3320a4e9-58a2-4edd-86ed-18a8efdfbaeb,Weighed Mass,nominal_real
