,uid,model_id,gemd_type,context
20,0296c0ea-7eef-441f-a2d3-8f5e36b336c5,4,ingredient_run,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""4566aa8f-6b7b-4c2f-9c74-dddc852456c5"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""composition AAB12 with VAM in batch A Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""05836a6b-94cc-4a24-b1f8-b892960cf33a"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""spec"": {""id"": ""7dd49643-49fc-4289-ac34-d6c91ce12267"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_run"", ""uids"": {""auto"": ""0296c0ea-7eef-441f-a2d3-8f5e36b336c5""}, ""volume_fraction"": null}"
21,02b96304-0e38-45b7-a102-07f77ece819e,4,material_run,"{""file_links"": [], ""name"": ""Alloy (composition AAB07 with VAM in batch A): Traveler Sample (SEM, T02)"", ""notes"": null, ""process"": {""id"": ""3e5cd526-3141-4626-9e89-0e7dd5a5151f"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""sample_type"": null, ""spec"": {""id"": ""eeaedbd1-acb4-4c2c-9cdf-e40d70f7a645"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""material_run"", ""uids"": {""auto"": ""02b96304-0e38-45b7-a102-07f77ece819e""}}"
22,02c05931-1230-4cbe-8a2c-cdb0b166c238,4,material_run,"{""file_links"": [], ""name"": ""Alloy (composition AAB04 with VAM in batch A): Traveler Sample (Tensile, Average)"", ""notes"": null, ""process"": {""id"": ""2f3632e6-8ba1-4c66-96c1-b077206c4215"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""sample_type"": null, ""spec"": {""id"": ""7249a425-b2d7-4a5f-9b0b-078ef3ed6562"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""material_run"", ""uids"": {""auto"": ""02c05931-1230-4cbe-8a2c-cdb0b166c238""}}"
23,02c779d5-00f1-41fe-ae79-f1cca02aaa1f,4,material_run,"{""file_links"": [], ""name"": ""Forged Alloy (composition AAB12 with VAM in batch A)"", ""notes"": null, ""process"": {""id"": ""9c7a7a1a-58e9-4c38-9eed-b0d1d2bcace8"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""sample_type"": null, ""spec"": {""id"": ""5af0b925-2592-4ef7-89f9-baf5c5ceb38c"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [""composition_id::AAB12"", ""batch::A"", ""fabrication_method::VAM""], ""type"": ""material_run"", ""uids"": {""auto"": ""02c779d5-00f1-41fe-ae79-f1cca02aaa1f""}}"
24,0343b2a6-e700-4c37-8db2-70124722cd9a,4,material_spec,"{""file_links"": [], ""name"": ""V in composition AAB14 with VAM in batch A"", ""notes"": null, ""process"": {""id"": ""af649fae-3f74-49b0-a441-1960794a3183"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""properties"": [{""conditions"": [], ""property"": {""file_links"": [], ""name"": ""Composition Percentage"", ""notes"": """", ""origin"": ""predicted"", ""template"": {""id"": ""acb9c881-ac63-49b6-97d0-2b9c7bf5d773"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""nominal"": 5.0, ""type"": ""nominal_real"", ""units"": ""dimensionless""}}, ""type"": ""property_and_conditions""}, {""conditions"": [], ""property"": {""file_links"": [], ""name"": ""Target Mass"", ""notes"": """", ""origin"": ""computed"", ""template"": {""id"": ""f68e3048-48c1-423c-a21d-075e0e428181"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""property"", ""value"": {""nominal"": 1.3672, ""type"": ""nominal_real"", ""units"": ""gram""}}, ""type"": ""property_and_conditions""}], ""tags"": [], ""template"": {""id"": ""862b710d-f134-442f-8515-da62e296c004"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""material_spec"", ""uids"": {""auto"": ""0343b2a6-e700-4c37-8db2-70124722cd9a""}}"
25,034884b8-52de-40d4-8b2f-6acfd7db2a0d,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""d8f147df-c4fc-4102-9a4d-e479abe8d065"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Fe in composition AAB14 with VAM in batch A Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""ffdb51a2-8e27-433a-8f65-43b26297d9f0"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""034884b8-52de-40d4-8b2f-6acfd7db2a0d""}, ""volume_fraction"": null}"
26,0348b60a-3ea4-4194-ac5b-ab5f7ac9756a,4,measurement_run,"{""conditions"": [], ""file_links"": [], ""material"": {""id"": ""56b7f285-1611-4641-8e08-8c58b119ed5e"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""NI characterization for Alloy (composition AAB01 with VAM in batch A) (T04)"", ""notes"": null, ""parameters"": [], ""properties"": [], ""source"": null, ""spec"": {""id"": ""41820809-2f5f-4d36-881f-5dd892df4123"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""measurement_run"", ""uids"": {""auto"": ""0348b60a-3ea4-4194-ac5b-ab5f7ac9756a""}}"
27,035b67ed-deac-45db-9b88-420d477d8b57,4,process_spec,"{""conditions"": [], ""file_links"": [], ""name"": ""Forging Alloy (composition AAB08 with VAM in batch A)"", ""notes"": null, ""parameters"": [], ""tags"": [], ""template"": {""id"": ""41ae1f84-ce72-4a0f-84f6-9ab1bb071758"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""type"": ""process_spec"", ""uids"": {""auto"": ""035b67ed-deac-45db-9b88-420d477d8b57""}}"
28,03705d80-2867-445f-8911-8f4c365b4f59,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""1a39cf1c-fdba-492d-a113-b4e3cc699695"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Homogenized Alloy (composition AAB02 with VAM in batch A) Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""aa9c0d1e-8dbb-4fda-9426-ea2f43f8a6d7"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""03705d80-2867-445f-8911-8f4c365b4f59""}, ""volume_fraction"": null}"
29,0380f77c-1f17-4bea-b702-d809761dd9eb,4,ingredient_spec,"{""absolute_quantity"": null, ""file_links"": [], ""labels"": [], ""mass_fraction"": null, ""material"": {""id"": ""cbb0d894-2455-4de0-9cf5-880e56a7a564"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""name"": ""Alloy (composition AAB14 with VAM in batch A): Traveler Sample (Tensile, T09) Ingredient"", ""notes"": null, ""number_fraction"": null, ""process"": {""id"": ""51478d48-d60c-4e84-8396-f9a33a2f086e"", ""scope"": ""auto"", ""type"": ""link_by_uid""}, ""tags"": [], ""type"": ""ingredient_spec"", ""uids"": {""auto"": ""0380f77c-1f17-4bea-b702-d809761dd9eb""}, ""volume_fraction"": null}"
